[2023-03-07 12:52:43,222] werkzeug - WARNING -  * Debugger is active!
[2023-03-07 12:52:43,222] werkzeug - INFO -  * Debugger PIN: 110-854-389
[2023-03-07 12:52:43,316] werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2023-03-07 12:53:37,577] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:53:37] "[35m[1mGET /abc HTTP/1.1[0m" 500 -
[2023-03-07 12:53:38,452] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:53:38] "GET /abc?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2023-03-07 12:53:38,453] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:53:38] "GET /abc?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2023-03-07 12:53:38,526] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:53:38] "GET /abc?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2023-03-07 12:53:38,696] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:53:38] "GET /abc?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
[2023-03-07 12:53:38,736] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:53:38] "GET /abc?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2023-03-07 12:54:37,750] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:54:37] "[35m[1mGET /abc HTTP/1.1[0m" 500 -
[2023-03-07 12:54:37,808] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:54:37] "GET /abc?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2023-03-07 12:54:37,824] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:54:37] "GET /abc?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2023-03-07 12:54:38,598] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:54:38] "GET /abc?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2023-03-07 12:54:38,796] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:54:38] "GET /abc?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
[2023-03-07 12:54:38,853] werkzeug - INFO - 127.0.0.1 - - [07/Mar/2023 12:54:38] "GET /abc?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2023-03-07 12:55:52,432] werkzeug - INFO -  * Detected change in 'C:\\Users\\User\\Desktop\\ML end_to_end Project\\ML-Project\\housing\\exception\\__init__.py', reloading
[2023-03-07 12:55:52,432] werkzeug - INFO -  * Detected change in 'C:\\Users\\User\\Desktop\\ML end_to_end Project\\ML-Project\\housing\\exception\\__init__.py', reloading
[2023-03-07 12:55:52,432] werkzeug - INFO -  * Detected change in 'c:\\users\\user\\desktop\\ml end_to_end project\\ml-project\\housing\\exception\\__init__.py', reloading
[2023-03-07 12:55:52,432] werkzeug - INFO -  * Detected change in 'C:\\Users\\User\\Desktop\\ML end_to_end Project\\ML-Project\\housing\\exception\\__init__.py', reloading
[2023-03-07 12:55:52,432] werkzeug - INFO -  * Detected change in 'c:\\users\\user\\desktop\\ml end_to_end project\\ml-project\\housing\\exception\\__init__.py', reloading
[2023-03-07 12:55:52,432] werkzeug - INFO -  * Detected change in 'C:\\Users\\User\\Desktop\\ML end_to_end Project\\ML-Project\\housing\\exception\\__init__.py', reloading
[2023-03-07 12:55:52,432] werkzeug - INFO -  * Detected change in 'c:\\users\\user\\desktop\\ml end_to_end project\\ml-project\\housing\\exception\\__init__.py', reloading
